"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","A","2000",6.285546,
"AUS","HUR","TOT","PC_LF","A","2001",6.742173,
"AUS","HUR","TOT","PC_LF","A","2002",6.368911,
"AUS","HUR","TOT","PC_LF","A","2003",5.92842,
"AUS","HUR","TOT","PC_LF","A","2004",5.396734,
"AUS","HUR","TOT","PC_LF","A","2005",5.033881,
"AUS","HUR","TOT","PC_LF","A","2006",4.78524,
"AUS","HUR","TOT","PC_LF","A","2007",4.379151,
"AUS","HUR","TOT","PC_LF","A","2008",4.23433,
"AUS","HUR","TOT","PC_LF","A","2009",5.560385,
"AUS","HUR","TOT","PC_LF","A","2010",5.21334,
"AUS","HUR","TOT","PC_LF","A","2011",5.081195,
"AUS","HUR","TOT","PC_LF","A","2012",5.223376,
"AUS","HUR","TOT","PC_LF","A","2013",5.66194,
"AUS","HUR","TOT","PC_LF","A","2014",6.077244,
"AUS","HUR","TOT","PC_LF","A","2015",6.056423,
"AUS","HUR","TOT","PC_LF","A","2016",5.710301,
"AUS","HUR","TOT","PC_LF","A","2017",5.59376,
"AUS","HUR","TOT","PC_LF","A","2018",5.299855,
"AUT","HUR","TOT","PC_LF","A","2000",3.933333,
"AUT","HUR","TOT","PC_LF","A","2001",3.983333,
"AUT","HUR","TOT","PC_LF","A","2002",4.383333,
"AUT","HUR","TOT","PC_LF","A","2003",4.758333,
"AUT","HUR","TOT","PC_LF","A","2004",5.508333,
"AUT","HUR","TOT","PC_LF","A","2005",5.633333,
"AUT","HUR","TOT","PC_LF","A","2006",5.25,
"AUT","HUR","TOT","PC_LF","A","2007",4.866667,
"AUT","HUR","TOT","PC_LF","A","2008",4.141667,
"AUT","HUR","TOT","PC_LF","A","2009",5.325,
"AUT","HUR","TOT","PC_LF","A","2010",4.841667,
"AUT","HUR","TOT","PC_LF","A","2011",4.575,
"AUT","HUR","TOT","PC_LF","A","2012",4.883333,
"AUT","HUR","TOT","PC_LF","A","2013",5.358333,
"AUT","HUR","TOT","PC_LF","A","2014",5.641667,
"AUT","HUR","TOT","PC_LF","A","2015",5.733333,
"AUT","HUR","TOT","PC_LF","A","2016",6.033333,
"AUT","HUR","TOT","PC_LF","A","2017",5.516667,
"AUT","HUR","TOT","PC_LF","A","2018",4.858333,
"BEL","HUR","TOT","PC_LF","A","2000",6.875,
"BEL","HUR","TOT","PC_LF","A","2001",6.591667,
"BEL","HUR","TOT","PC_LF","A","2002",7.525,
"BEL","HUR","TOT","PC_LF","A","2003",8.175,
"BEL","HUR","TOT","PC_LF","A","2004",8.391666,
"BEL","HUR","TOT","PC_LF","A","2005",8.433333,
"BEL","HUR","TOT","PC_LF","A","2006",8.25,
"BEL","HUR","TOT","PC_LF","A","2007",7.483333,
"BEL","HUR","TOT","PC_LF","A","2008",6.975,
"BEL","HUR","TOT","PC_LF","A","2009",7.891667,
"BEL","HUR","TOT","PC_LF","A","2010",8.316667,
"BEL","HUR","TOT","PC_LF","A","2011",7.166667,
"BEL","HUR","TOT","PC_LF","A","2012",7.566667,
"BEL","HUR","TOT","PC_LF","A","2013",8.45,
"BEL","HUR","TOT","PC_LF","A","2014",8.533334,
"BEL","HUR","TOT","PC_LF","A","2015",8.5,
"BEL","HUR","TOT","PC_LF","A","2016",7.858333,
"BEL","HUR","TOT","PC_LF","A","2017",7.1,
"BEL","HUR","TOT","PC_LF","A","2018",5.958333,
"CAN","HUR","TOT","PC_LF","A","2000",6.816667,
"CAN","HUR","TOT","PC_LF","A","2001",7.216667,
"CAN","HUR","TOT","PC_LF","A","2002",7.675,
"CAN","HUR","TOT","PC_LF","A","2003",7.575,
"CAN","HUR","TOT","PC_LF","A","2004",7.191667,
"CAN","HUR","TOT","PC_LF","A","2005",6.758333,
"CAN","HUR","TOT","PC_LF","A","2006",6.333333,
"CAN","HUR","TOT","PC_LF","A","2007",6.05,
"CAN","HUR","TOT","PC_LF","A","2008",6.141667,
"CAN","HUR","TOT","PC_LF","A","2009",8.35,
"CAN","HUR","TOT","PC_LF","A","2010",8.058333,
"CAN","HUR","TOT","PC_LF","A","2011",7.525,
"CAN","HUR","TOT","PC_LF","A","2012",7.291667,
"CAN","HUR","TOT","PC_LF","A","2013",7.083333,
"CAN","HUR","TOT","PC_LF","A","2014",6.908333,
"CAN","HUR","TOT","PC_LF","A","2015",6.908333,
"CAN","HUR","TOT","PC_LF","A","2016",6.991667,
"CAN","HUR","TOT","PC_LF","A","2017",6.341667,
"CAN","HUR","TOT","PC_LF","A","2018",5.833333,
"CZE","HUR","TOT","PC_LF","A","2000",8.775,
"CZE","HUR","TOT","PC_LF","A","2001",8.125,
"CZE","HUR","TOT","PC_LF","A","2002",7.291667,
"CZE","HUR","TOT","PC_LF","A","2003",7.775,
"CZE","HUR","TOT","PC_LF","A","2004",8.291667,
"CZE","HUR","TOT","PC_LF","A","2005",7.941667,
"CZE","HUR","TOT","PC_LF","A","2006",7.133333,
"CZE","HUR","TOT","PC_LF","A","2007",5.325,
"CZE","HUR","TOT","PC_LF","A","2008",4.408333,
"CZE","HUR","TOT","PC_LF","A","2009",6.683333,
"CZE","HUR","TOT","PC_LF","A","2010",7.291667,
"CZE","HUR","TOT","PC_LF","A","2011",6.716667,
"CZE","HUR","TOT","PC_LF","A","2012",6.975,
"CZE","HUR","TOT","PC_LF","A","2013",6.966667,
"CZE","HUR","TOT","PC_LF","A","2014",6.116667,
"CZE","HUR","TOT","PC_LF","A","2015",5.058333,
"CZE","HUR","TOT","PC_LF","A","2016",3.966667,
"CZE","HUR","TOT","PC_LF","A","2017",2.908333,
"CZE","HUR","TOT","PC_LF","A","2018",2.266667,
"DNK","HUR","TOT","PC_LF","A","2000",4.325,
"DNK","HUR","TOT","PC_LF","A","2001",4.525,
"DNK","HUR","TOT","PC_LF","A","2002",4.583333,
"DNK","HUR","TOT","PC_LF","A","2003",5.408333,
"DNK","HUR","TOT","PC_LF","A","2004",5.5,
"DNK","HUR","TOT","PC_LF","A","2005",4.841667,
"DNK","HUR","TOT","PC_LF","A","2006",3.908333,
"DNK","HUR","TOT","PC_LF","A","2007",3.75,
"DNK","HUR","TOT","PC_LF","A","2008",3.708333,
"DNK","HUR","TOT","PC_LF","A","2009",6.408333,
"DNK","HUR","TOT","PC_LF","A","2010",7.766667,
"DNK","HUR","TOT","PC_LF","A","2011",7.758333,
"DNK","HUR","TOT","PC_LF","A","2012",7.8,
"DNK","HUR","TOT","PC_LF","A","2013",7.391667,
"DNK","HUR","TOT","PC_LF","A","2014",6.883333,
"DNK","HUR","TOT","PC_LF","A","2015",6.3,
"DNK","HUR","TOT","PC_LF","A","2016",6.008333,
"DNK","HUR","TOT","PC_LF","A","2017",5.816667,
"DNK","HUR","TOT","PC_LF","A","2018",5.116667,
"FIN","HUR","TOT","PC_LF","A","2000",9.783334,
"FIN","HUR","TOT","PC_LF","A","2001",9.125,
"FIN","HUR","TOT","PC_LF","A","2002",9.075,
"FIN","HUR","TOT","PC_LF","A","2003",9.008333,
"FIN","HUR","TOT","PC_LF","A","2004",8.825,
"FIN","HUR","TOT","PC_LF","A","2005",8.4,
